"title","collection","releaseDate","synopsis","editorial","author","pages","isbn","image"
"Fumando juntos detrás del súper 7","FUMANDO JUNTOS DETRÁS DEL SÚPER V1 7","22 ene 2026","La rivalidad entre Sasaki y Kawakami por Tayama provoca una revelación inesperada que los lleva a cuestionarse algunas cosas. A medida que trata más a Yamada y Tayama, las dudas de Sasaki se agudizan, y termina pasando algo importante… En ese momento, Sasaki conoce a una persona inesperada que lo obliga a tomar una decisión.","SQUARE ENIX","Jinushi","264","9791370133894","https://www.panini.es/media/catalog/product/cache/2d16730310b7945c46ddd1ca513e3c42/s/s/ssura007.jpg"
"Little Batman: Mes Uno 2","LITTLE BATMAN. MES UNO V1 2","18 dic 2025","¿Qué pasa cuando un niño que, además, es un superhéroe en secreto, se escapa de casa para salvar a su papá, que también es un superhéroe en secreto? ¡Un lío, claro está! Alfred y la niñera se dividen para buscar al Pequeño Batman por todos lados, pero lo que no saben es que está recogiendo pistas de quien menos se esperan... ¡el Joker! Con toda la información necesaria para vencer a El Espantapájaros, Damian Wayne se verá en las garras de su némesis... y si quiere atrapar al villano y salvar a su padre, tendrá que hacer lo que mejor se le da a cualquier niño: volver loco a todo el mundo.","DC COMICS","Morgan Evans, Jon Mikel","64","9791370132972","https://www.panini.es/media/catalog/product/cache/2d16730310b7945c46ddd1ca513e3c42/s/k/skids011.jpg"
"DC Black Label. Jenny Sparks","DC BLACK LABEL V1 5","18 dic 2025","El espíritu del siglo XX regresa en el siglo XXI de la mano del galardonado Tom King y el artista emergente Jeff Spokes. ¿Qué podrían tener que ver cuatro extraños con el destino del mundo? Averígualo al tiempo que el Capitán Atom amenaza con destruir el planeta que antaño juró proteger. ¿Habrá algún héroe que pueda detenerlo? Bueno, quizás la menos convencional: Jenny Sparks, la mujer encargada de asegurarse que nadie se pasa de la raya, cueste lo que cueste.","DC COMICS","Jeff Spokes, Tom King","224","9791370132248","https://www.panini.es/media/catalog/product/cache/2d16730310b7945c46ddd1ca513e3c42/s/b/sblab005.jpg"
"Marvel Omnibus. Miracleman","MIRACLEMAN V1","18 dic 2025","¡Kimota! Al pronunciar una palabra mágica, una leyenda largo tiempo olvidada vive de nuevo. El periodista Michael Moran siempre supo que estaba destinado a la grandeza. Ahora, una serie de acontecimientos inesperados le lleva a reclamar su destino como Miracleman. El cómic que encabezó una revolución literaria comienza aquí, con ""El sueño de volar"". Después de cerca de dos décadas desaparecido, Miracleman descubre sus verdaderos orígenes y su conexión con el llamado Proyecto Zaratustra, mientras su alter ego, Michael Moran, debe conciliar su vida como un simple humano con la existencia de un dios.","Marvel Comics","El guionista original, Don Lawrence, Mick Anglo, John Ridgway, Garry Leach, Catherine Yronwode, Alan Davis","808","9791370133085","https://www.panini.es/media/catalog/product/cache/2d16730310b7945c46ddd1ca513e3c42/s/m/smira006_0.jpg"
"Caballero Luna: Puño de Khonshu 1","CABALLERO LUNA: PUÑO DE KHONSHU V1 1","18 dic 2025","¡Marc Spector ha vuelto del más allá! Como avatar y agente de Khonshu, dios egipcio de la Luna, ha muerto y resucitado en más de una ocasión. Reunido con la Misión Medianoche, que ha crecido en su ausencia, Marc se lanza directo a la lucha mientras peligrosos agentes de ambos lados de la ley atacan.","Marvel Comics","Domenico Carbone, Devmalya Pramanik, Alessandro Cappuccio, Jed Mackay","136","9788410518803","https://www.panini.es/media/catalog/product/placeholder/default/placeholder.jpg"
"Biblioteca Marvel 108. Estela Plateada 1","BIBLIOTECA MARVEL V1 108","18 dic 2025","Es más que un cómic: es una máquina del tiempo. ¡Llega un hito en la historia de Marvel! Estela Plateada consigue colección propia, con más páginas, drama y emoción que ninguna otra. Descubre el origen del Heraldo de Galactus, el ataque de los Badoon y la primera tentación de Mefisto. Contiene los correos de lectores de la edición original y la cronología que lo sitúa todo en contexto. ¡Biblioteca Marvel, como siempre y mejor que nunca! ¡No puedes perderte esta edición histórica!","Marvel Comics","John Buscema, Stan Lee","160","9791370133580","https://www.panini.es/media/catalog/product/cache/2d16730310b7945c46ddd1ca513e3c42/s/b/sbmar108.jpg"
"DC Must-Have. JLA/JSA: Pecados y virtudes","DC MUST-HAVE V1","18 dic 2025","Una tradición mítica revisionada por el formidable equipo de Geoff Johns y Carlos Pacheco. A lo largo de décadas, diferentes encarnaciones de la Sociedad y de la Liga de la Justicia han luchado juntos para proteger el mundo de todo tipo de amenazas. Para celebrar tal camaradería, ambos grupos vuelven a reunirse. Pero entonces sus diferentes miembros serán poseídos por la encarnación de los Siete Pecados Capitales. Un team-up de proporciones épicas en el que tres generaciones de héroes luchan contra la Pereza, la Gula, la Lujuria, la Ira, la Soberbia, la Envidia y la Avaricia.","DC COMICS","Geoff Johns, David S. Goyer, Carlos Pacheco","112","9791370133658","https://www.panini.es/media/catalog/product/placeholder/default/placeholder.jpg"
"DC Premiere. Amanecer de DC. Hiedra Venenosa 3","DC PREMIERE. AMANECER DE DC. HIEDRA VENENOSA V1 3","18 dic 2025","Pamela Isley vuelve a Gotham y al lado de Harley, acompañada de la adorable Janet de Recursos Humanos. Hiedra Venenosa investiga a regañadientes un extraño nuevo rascacielos en la ciudad. ¿Tendrá Killer Croc el secreto para salvar a los habitantes de Gotham? Hiedra se verá las caras con sus terrores inintencionados, en tanto que descubre algo horripilante sobre su nuevo cuerpo.","DC COMICS","Marcio Takara, Luana Vecchio, Arif Prianto, G. Willow Wilson","160","9791370133795","https://www.panini.es/media/catalog/product/cache/2d16730310b7945c46ddd1ca513e3c42/s/d/sdpre025.jpg"
"Undead Unluck 22","UNDEAD UNLUCK V1 22","18 dic 2025","Siguiendo las pistas de Andy, ¡el grupo se dirige a Inglaterra! Allí se encuentran con Juiz, la jefa de Unión en el anterior bucle y la negacionista más fuerte… Justo cuando parece ir todo bien, aparece un nuevo enemigo de la sala absoluta.","","Yoshifumi Tozuka","192","9791370133948","https://www.panini.es/media/catalog/product/cache/2d16730310b7945c46ddd1ca513e3c42/s/u/sunde022.jpg"
"Bleach Bestseller 29","BLEACH (BESTSELLER) V1 29","18 dic 2025","Una vez dentro de Las Noches, cada cual sigue un camino distinto. Nel e Ichigo acaban encontrándose con Dordoni, un “privaron espada”, a quien Ichigo subestima en un principio, antes de sufrir en sus carnes un potente ataque. Por su parte, Ishida y Sado también se enfrentan cada uno a adversarios muy poderosos.","","Tite Kubo","200","9791370133917","https://www.panini.es/media/catalog/product/placeholder/default/placeholder.jpg"
