title,date,authors,isbn,description,collection,img,publisher,language,format,url
"""THE""","15 de febrero de 2022","Manuel Álvarez","978-8-418-41946-1","""THE"" es un webcómic de Manuel Álvarez que vio la luz por primera vez en 2019 como cierre de otro webcómic previo del autor, también publicado en Fanternet: ""[Inserte Título Aquí]"". Allí se publicaron las primeras 16 páginas de ""THE"", protagonizada por Pájaro, Delfín y Cocodrilo, tres compañeros de piso que son compañeros de piso. En Fandogamia siempre supimos que ""THE"" era un diamante en bruto, una joya como solo se encuentra en un milenio y cientos de páginas en la Deep Web, así que logramos convencer a su autor (con promesas de Muchísimo Dinero y Grandes Premios Literarios) para que continuara con las ""aventuras"" de estos ""simpáticos"" ""personajes"". Y aquí lo tenemos: el críptico webcómic adaptado a críptico tebeo físico, con 16 páginas inéditas, no publicadas antes EN NINGÚN SITIO. El big finale. No te lo pierdas. Este es el final de LOST de nuestra época.","","https://i1.whakoom.com/small/28/19/1888230926ff484ea01f267c5a47dd0e.jpg","Fandogamia Editorial","Español (España)","Rústica 112 pp","https://www.whakoom.com/ediciones/617810/the-rustica_112_pp"
"""Z""","20 de abril de 2018","Valentin Ramon","978-8-409-00771-4","Z es un super detective/super héroe a a lo Batman de los 40 pero en tiempo que se parece mucho al nuestro. Los atentados terroristas están asolando el país de Z , por lo que este decidirá ayudar a la policía en la investigación para descubrir quien esta detrás de ellos . Acompañado por sus sidekicks descubrirá que su propio gobierno esta involucrado en los ataques. CARACTERISTICA ESPECIAL: Libro mudo ( sin palabras )","","https://i1.whakoom.com/small/1f/0f/334152a170c041a7ad66fd6f19c1afba.jpg","West Wind Comics","Español (España)","Cartoné 96 pp","https://www.whakoom.com/ediciones/505021/z-cartone_96_pp"
"#Amiga date cuenta","7 de julio de 2020","Andonella, Plaqueta","978-8-408-22533-1","La adolescencia es una etapa de la vida en la que surgen miles de dudas que, en la mayoría de los casos, son difíciles de aclarar con la familia o en el colegio, lo que lleva a una desinformación que puede ser peligrosa. Este libro reúne de una manera sencilla, y con ayuda de ilustraciones, información sobre cosas tan importantes como: la primera cita con la ginecóloga, la sexualidad, conceptos sobre LGBTI+, el machismo, la importancia de la autoestima y otros temas de los que hasta los padres y educadores van a aprender un montón. Además, incluye un mágico traductor adulto-español.","","https://i1.whakoom.com/small/18/06/9ae08b72950b494a803f9287bd0661ad.jpg","Zenith","Español (España)","Rústica 192 pp","https://www.whakoom.com/ediciones/574391/amiga_date_cuenta-rustica_192_pp"
"#ComoCabras","2018","Ana Azpilicueta","978-8-468-52134-3","Un día después de una gran comilona en 2010 decidí que tenía que empezar a moverme. Salí a correr, duré dos minutos, vomité, volví a casa y lo dibujé. Ese fue el inicio de mi vida como corredora de monte y de lo que tenéis entre las manos. Una mirada divertida del mundo de la montaña, contado con mucho amor en pequeños chistes protagonizados por ella: Cabra. No es un libro con trucos para correr mejor, este es un libro para reírnos de nosotros mismos y acordarnos de que, como dice Tamaríz: “Esto es para divertirse”.","","https://i1.whakoom.com/small/25/1b/39e81c84b4f946b889dda8ba29524fd1.jpg","Bubok Publishing","Español (España)","Rústica 152 pp","https://www.whakoom.com/ediciones/589279/comocabras-rustica_152_pp"
"#Hardcover","12 de noviembre de 2019","Sara Pichelli, Bastien Lecouffe Deharme, Daniela Uhlig, Belén Ortega, Even Mehl Amundsen, Gerald Parel, Kim Jung Ji","979-1-096-31539-0, 979-1-096-31575-8","El rechazo actual a cualquier arte sobre desnudos en redes sociales ha influencia a creadores de todo el mundo de una manera que algunos de ellos eluden trabajar dibujando cualquier tipo de desnudos, por más artísticos que sean. Publicar sus trabajos sin censura ha llevado a perfiles bloqueados, imágenes borradas y un estigma en la industria que los artistas buscan evitar a toda costa. #Hardcover planta una lanza publicando arte explícito creado por artistas y dibujantes reconocidos por la industria y que creen en la libertad de explorar nuestra sexualidad a través del arte. Con artistas como Kim Jung Gi, Sara Pichelli, Bastien Lecouffe Deharme, Daniela Uhlig, Belén Ortega, Even Mehl Amundsen, Gerald Parel y muchos, muchísimos otros hasta un total de 120 autores, este libro promete ser uno entre un millón. La mayoría de los artistas contribuyendo a #Hardcover nunca han publicado ningún dibujo “adulto” hasta formar parte de este proyecto, lo que hace que este volumen sea una ventana a sus pensamientos más íntimos. Hemos querido que los artistas sean libres de crear cualquier contenido sin límites ni censuras de ningún tipo para que el libro contenga expresiones de todas las sexualidades. No lo querríamos de ninguna otra forma. El libro tendrá un formato externo completamente en negro en tapa dura y será de 160 páginas. La lista de autores que participan en este volumen, en orden alfabético: Abigail Larson,  Adam Daroszewski,  Alexander Tsaruk,  Alix Branwyn,  Andrew Mar,  Angi Pauly Llobet,  Andrew Domachowski,  Anton Oxenuk,  Antonin Gallo,  Antonio de Luca,  Ariel Vittori,  Armel Gaulme,  Ash Kerins,  Audrey Mitsuko,  Ayran Oberto,  Bastien Lecouffe-Deharme,  Belén Ortega,  Björn Hurri,  Bogna Gawrońska,  Célia Beauduc,  Claudia SG Ianniciello,  Chris Anyma,  Courtney James Howlett,  Cristian Chihaia,  Cristina Laviña,  Damien Henceval,  Daniel Bolling Walsh,  Daniela Uhlig,  David Ardinaryas Lojaya,  Devon Cady-lee,  Dhaniel Alexander Castillo,  Diego Gisbert Llorens,  Dimitri Chappuis,  Dimitri van Wezel,  Dominik Gümbel,  Dylan Choonhachat,  Emma Rose Paterson,  Erik Staub,  Even Mehl Amundsen,  Fatemeh Haghnejad,  Georgios Dimitriou,  Gerald Parel,  Halil Ural,  Hans Olo,  Hanukafast Alex,  Henry Wong,  Hugo Richard,  Iga Oliwiak,  Igor-alban Chevalier,  Ihor Pasternak,  Iosu Palacios,  Ivan Lougovoy,  Jaclin Natalia Kareta,  James Martin,  Jander González Mella,  Jasmin Darnell,  Javi Salas,  Jennifer Wuestling Velasco,  Jeon “Uniquelab” Seon Hyung,  Jessica Rossier,  Jianli Wu,  João David Fernandes,  Juarez Ricci,  Julian Dieckert,  Kev Chan,  Khasis Lieb,  Kim Jung Gi,  Kyu Yong Eom,  Leila Leiz,  Lenka Šimečková,  Lime Lissa,  Lorenzo Di Mauro,  Lucia Massucco,  Manos Lagouvardos,  Maki Planas Mata,  Marc Escachx Jacob,  Marco Guaglione,  Marek Madej,  Mariana Galiano,  Mariia Solianyk,  Mario Manzanares,  Markus Neidel,  Marta Nael,  Mathias Konrad Osland,  Max Davenport,  Max Schulz,  Melissa Spandri,  Miguel Iglesias,  Mike DeBalfo,  Mike Guiang,  Miroslav Petrov,  Nadja Clauberg,  Nekro,  Olga Andriyenko,  Olga Samoilova,  Pablo Carpio,  Pauline Gausserand,  Pauline Voß,  Paulo Barrios,  Rafa Teruel,  Rafael Sarmento,  Randall Mackey,  Randall Whiteis,  Ricardo Padierne Silvera,  Riccardo Mannelli,  Robbie Trevino,  Ronan Toulhoat,  Samuel Smith,  Sara Pichelli,  Serge Birault,  Sidharth Chaturvedi,  Simon Cowell,  Soren Zaragoza,  Svetlin Velinov,  Thomas Chamberlain-Keen (Tck Tck),  Thabiso Mhlaba,  Tom Jilesen,  Tony Sandoval,  Veli Nyström,  Xavier d‘Espinay Saint Luc","","https://i1.whakoom.com/small/28/1f/5b25f976b6454600972cdce997d643bb.jpg","ECC Ediciones","Español (España)","Cartoné 160 pp","https://www.whakoom.com/ediciones/554298/hardcover-cartone_160_pp"
"#Nuevocontacto","29 de octubre de 2020","Bruno Duhamel","978-8-412-08967-7","Doug vive atrincherado en Castle Loch. Antes era-fotógrafo, pero ya no muestra ninguna foto al público. Sin embargo, cuando retrata una extraña criatura en la orilla del lago, comparte la fotografía en la red social Twister. En esta época de redes sociales omnipresentes esta acción tan trivial desencadena una secuencia de acontecimientos que nadie está dispuesto a soportar. El trocito de paraíso que es Castle Loch se convierte en un infierno cuando hordas de periodistas, ambientalistas recelosos, personas suspicaces o simplemente curiosas aparecen de improviso para intentar descubrir a la criatura. Una fábula sobre los peligros del mundo moderno y su ejército: las redes sociales.","","https://i1.whakoom.com/small/32/26/85481233fd774426be48128e1d405fc6.jpg","Harriet Ediciones","Español (España)","Cartoné 72 pp","https://www.whakoom.com/ediciones/594101/nuevocontacto-cartone_72_pp"
"#Una Novela Gráfica","15 de marzo de 2018","Manuel Castaño","978-8-494-77943-5","""Una novela gráfica"" es la historia de un tipo que persigue tres sueños uno de los cuales es ser dibujante de cómics profesional y repasa mientras desarrolla su trabajo como mozo de almacén todos sus numerosos fracasos. Una historia de humor absurdo y surrealista salpicada de elementos fantásticos que habla del impulso creativo de sobreponerse a los fracasos y sobre todo de LA NECESIDAD DE CREAR","","https://i1.whakoom.com/small/2a/1a/33bbb441d7ea4096b6a84796a9bc1cb7.jpg","Vial of Delicatessens","Español (España)","Rustica 248 pp","https://www.whakoom.com/ediciones/503966/una_novela_grafica-rustica_248_pp"
"...Aquí no se Rinde Nadie! - Valpuesta. Los Orígenes del Español","17 de junio de 2019","Gerard Tauste Lerena, Lorenzo González Llopis","978-8-412-05220-6","Un grupo de amigos se dispone a realizar un viaje a Valpuesta, el pueblo burgalés reconocido por ser considerado donde se encuentra el origen del Español. En el cómic se desarrolla una historia divertida y entretenida donde se relatan los orígenes del Español, pero sin dejar de lado el humor característico de los autores.","","https://i1.whakoom.com/small/32/0a/bb731cadcd6040c5866231d68c380f29.jpg","Unrated Comics","Español (España)","Grapa 24 pp","https://www.whakoom.com/ediciones/532083/aqui_no_se_rinde_nadie_-_valpuesta_los_origenes_del_espanol-grapa_24_pp"
"...con locura, amor y malos tratos","Octubre 2010","James, Sylvian Ricard","978-8-498-85526-5","La violencia de género es uno de los mayores problemas a los que se enfrenta la sociedad actual. Un problema que no sabe de culturas, nivel económico o fronteras. Un problema de difí­cil solución cuyas consecuencias están presentes en nuestra vida cotidiana. Y precisamente por eso la conciencia de ese problema ha permeado no sólo a los medios de comunicación sino también en las manifestaciones populares. En ...Con locura. Amor y malos tratos Sylvain Ricard y James se enfrentan cara a cara con el problema. Con serenidad pero con valentí­a, los autores nos desgranan el dí­a a dí­a y la evolución de una situación de malos tratos. Una obra comprometida que ayuda a entender mejor este grave problema. Lo que no es poco.","","https://i1.whakoom.com/small/1b/32/dda6610b7569417396fca0cdcda66240.jpg","Panini Comics España","Español (España)","Cartoné 144 pp","https://www.whakoom.com/ediciones/1297/con_locura_amor_y_malos_tratos-cartone_144_pp"
"...de ellas","2006","Ana Juan, Asunción Balzola, María Alcobre, Victoria Martos, Laura Pérez Vernetti, Gabriella Giandelli, Marta Guerrero, Cintia Bolio, Raquel Alzate, María Delia Lozupone, Nicole Schulman, Mª Isabel Carvalho, Antonia Santolaya","978-8-489-92984-5","El Instituto de la Mujer de la Región de Murcia, en el marco de las acciones que realiza de cara a la consecución de la igualdad real y efectiva entre hombres y mujeres, y como resultado de una propuesta realizada por la Agencia de Comunicación Símbolo – IC, puso en marcha hace unos meses el proyecto “…de ellas”. Bajo este título se esconde mucho más que una simple manifestación de intenciones. “…de ellas” supone una reivindicación, una defensa, un reconocimiento y muchas, muchas experiencias. No es casual que la presentación de este proyecto se haya efectuado en vísperas del “Día de las Naciones Unidas para los Derechos de la Mujer y la Paz Internacional”, que se celebró el pasado 8 de marzo en todo el mundo. El Instituto de la Mujer de la Región de Murcia, como muchos otros organismos, quisó aprovechar la proximidad de esta efeméride para hacer un homenaje al universo femenino, a las realidades a las que han hecho frente y siguen haciendo frente las mujeres, sea cual sea su nacionalidad, su lengua o sus costumbres. Un tributo a su lucha por desligarse de las presiones de una sociedad que las ha obligado durante años a demostrar la existencia de una identidad femenina distinta a la del hombre, quedándose en ese superfluo rasgo sin valorar su individualidad como personas, como seres humanos","","https://i1.whakoom.com/small/39/10/f8ab642280cf44948a984727f1473ac0.jpg","Edicions De Ponent","Español (España)","Cartoné 112 pp","https://www.whakoom.com/ediciones/1/de_ellas-cartone_112_pp"
